date,open,high,low,close,volume
2020-01-02,320.04,321.36,318.76,320.08,32000000
2020-01-03,320.26,321.56,319.00,320.30,33989615
2020-01-06,320.62,321.85,319.44,320.67,35917702
2020-01-07,321.12,322.23,320.06,321.16,37726555
2020-01-08,321.74,322.69,320.84,321.79,39365883
2020-01-09,322.48,323.23,321.78,322.53,40795938
2020-01-10,323.32,323.85,322.86,323.38,41989979
2020-01-13,324.26,324.54,324.04,324.32,42935943
2020-01-14,325.27,325.38,325.24,325.34,43637189
2020-01-15,326.34,326.71,326.05,326.41,44112292
2020-01-16,327.45,328.07,326.91,327.52,34393888
2020-01-17,328.58,329.43,327.81,328.65,34526643
2020-01-20,329.71,330.75,328.73,329.78,34564480
2020-01-21,330.81,332.02,329.68,330.89,35432780
2020-01-22,331.87,333.21,330.62,331.96,37403132
2020-01-23,332.88,334.28,331.56,332.96,39286245
2020-01-24,333.80,335.22,332.47,333.89,41027209
2020-01-27,334.63,336.02,333.34,334.72,42579957
2020-01-28,335.36,336.65,334.15,335.45,43910120
2020-01-29,335.96,337.11,334.90,336.05,44997171
2020-01-30,336.43,337.40,335.55,336.52,35835697
2020-01-31,336.76,337.52,336.10,336.86,36435737
2020-02-03,336.96,337.47,336.54,337.05,36822161
2020-02-04,337.01,337.26,336.85,337.10,37033116
2020-02-05,336.92,337.14,336.80,337.02,37117661
2020-02-06,336.70,337.18,336.31,336.80,37132716
2020-02-07,336.35,337.08,335.72,336.45,38860479
2020-02-10,335.89,336.84,335.04,335.99,40800176
2020-02-11,335.33,336.47,334.29,335.43,42627946
2020-02-12,334.68,335.97,333.50,334.78,44292323
2020-02-13,333.97,335.35,332.69,334.07,35751999
2020-02-14,333.21,334.63,331.88,333.30,36978395
2020-02-17,332.41,333.83,331.09,332.51,37957432
2020-02-18,331.61,332.97,330.35,331.71,38690416
2020-02-19,330.82,332.07,329.67,330.92,39193948
2020-02-20,330.06,331.15,329.07,330.16,39498895
2020-02-21,329.35,330.25,328.55,329.44,39648473
2020-02-24,328.71,329.38,328.13,328.80,39695557
2020-02-25,328.15,328.57,327.82,328.24,40300604
2020-02-26,327.68,327.84,327.61,327.77,42278076
2020-02-27,327.33,327.60,327.14,327.41,34176084
2020-02-28,327.09,327.62,326.65,327.18,35938793
2020-03-02,326.98,327.75,326.31,327.07,37518783
2020-03-03,327.01,327.98,326.12,327.09,38879991
2020-03-04,327.17,328.31,326.11,327.25,39999960
2020-03-05,327.46,328.73,326.27,327.54,40871231
2020-03-06,327.89,329.24,326.61,327.96,41501808
2020-03-09,328.45,329.83,327.13,328.52,41914659
2020-03-10,329.12,330.48,327.82,329.19,42146291
2020-03-11,329.90,331.19,328.67,329.96,42244477
2020-03-12,330.77,331.95,329.66,330.84,32265287
2020-03-13,331.73,332.74,330.78,331.79,33730396
2020-03-16,332.75,333.56,332.01,332.81,35680668
2020-03-17,333.82,334.39,333.31,333.87,37526443
2020-03-18,334.92,335.23,334.66,334.97,39215137
2020-03-19,336.02,336.07,336.01,336.07,40703929
2020-03-20,337.11,337.42,336.83,337.15,41962429
2020-03-23,338.16,338.73,337.63,338.20,42974564
2020-03-24,339.16,339.97,338.39,339.20,43739580
2020-03-25,340.09,341.10,339.11,340.12,44272087
2020-03-26,340.92,342.10,339.77,340.95,34601151
2020-03-27,341.65,342.95,340.37,341.67,34768488
2020-03-30,342.25,343.63,340.90,342.28,34825869
2020-03-31,342.72,344.11,341.35,342.74,35168097
2020-04-01,343.05,344.40,341.71,343.07,37151613
2020-04-02,343.22,344.49,341.98,343.24,39063527
2020-04-03,343.25,344.37,342.14,343.26,40847141
2020-04-06,343.12,344.05,342.20,343.13,42453733
2020-04-07,342.84,343.55,342.14,342.85,43845589
2020-04-08,342.43,342.88,341.97,342.43,44998345
2020-04-09,341.87,342.06,341.69,341.88,35902504
2020-04-10,341.20,341.29,341.11,341.20,36564023
2020-04-13,340.42,340.77,340.06,340.42,37003948
2020-04-14,339.55,340.16,338.94,339.55,37257103
2020-04-15,338.61,339.45,337.77,338.61,37369922
2020-04-16,337.62,338.65,336.59,337.61,37397566
2020-04-17,336.60,337.78,335.41,336.59,38599508
2020-04-20,335.57,336.85,334.28,335.56,40559309
2020-04-21,334.55,335.88,333.21,334.54,42422159
2020-04-22,333.56,334.89,332.22,333.55,44134411
2020-04-23,332.63,333.90,331.34,332.61,35651781
2020-04-24,331.76,332.93,330.57,331.74,36942100
2020-04-27,330.98,332.00,329.94,330.96,37987319
2020-04-28,330.30,331.13,329.45,330.28,38784625
2020-04-29,329.73,330.34,329.11,329.72,39346622
2020-04-30,329.30,329.66,328.92,329.28,39700542
2020-05-01,328.99,329.09,328.87,328.97,39886556
2020-05-04,328.82,328.98,328.65,328.81,39955272
2020-05-05,328.79,329.21,328.36,328.78,40035405
2020-05-06,328.91,329.56,328.24,328.89,42023881
2020-05-07,329.16,330.03,328.28,329.15,33948698
2020-05-08,329.55,330.60,328.49,329.54,35752353
2020-05-11,330.06,331.25,328.86,330.05,37384881
2020-05-12,330.69,331.98,329.40,330.68,38806953
2020-05-13,331.43,332.75,330.09,331.42,39992328
2020-05-14,332.25,333.56,330.93,332.24,40929478
2020-05-15,333.15,334.40,331.89,333.14,41622313
2020-05-18,334.10,335.24,332.95,334.09,42089930
2020-05-19,335.08,336.06,334.10,335.08,42365430
2020-05-20,336.09,336.87,335.31,336.09,42493859
2020-05-21,337.09,337.64,336.54,337.09,32529407
2020-05-22,338.07,338.37,337.77,338.07,33467960
2020-05-25,339.00,339.04,338.97,339.01,35436233
2020-05-26,339.87,340.12,339.63,339.88,37315207
2020-05-27,340.66,341.18,340.16,340.68,39050233
2020-05-28,341.36,342.12,340.61,341.37,40595611
2020-05-29,341.94,342.92,340.98,341.96,41917430
2020-06-01,342.40,343.56,341.27,342.43,42995683
2020-06-02,342.74,344.03,341.47,342.76,43825503
2020-06-03,342.93,344.31,341.59,342.96,44417472
2020-06-04,342.99,344.39,341.62,343.02,34796960
2020-06-05,342.90,344.28,341.56,342.94,35002545
2020-06-08,342.68,343.98,341.42,342.72,35083623
2020-06-09,342.33,343.50,341.21,342.37,35097325
2020-06-10,341.86,342.85,340.91,341.90,36895022
2020-06-11,341.28,342.05,340.55,341.33,38831722
2020-06-12,340.60,341.13,340.12,340.65,40654535
2020-06-15,339.84,340.12,339.62,339.90,42312302
2020-06-16,339.03,339.14,338.98,339.09,43764125
2020-06-17,338.17,338.55,337.85,338.23,44981914
2020-06-18,337.29,337.93,336.72,337.35,35952126
2020-06-19,336.41,337.28,335.61,336.48,36676614
2020-06-22,335.55,336.62,334.55,335.62,37172508
2020-06-23,334.73,335.95,333.57,334.80,37471151
2020-06-24,333.96,335.30,332.70,334.04,37616150
2020-06-25,333.28,334.68,331.96,333.36,37660664
2020-06-26,332.68,334.09,331.36,332.76,38335897
2020-06-29,332.20,333.56,330.92,332.28,40311575
2020-06-30,331.83,333.10,330.65,331.92,42205706
2020-07-01,331.60,332.72,330.55,331.68,43962697
2020-07-02,331.50,332.44,330.64,331.59,35535481
2020-07-03,331.54,332.27,330.90,331.63,36888446
2020-07-06,331.73,332.22,331.33,331.82,37999647
2020-07-07,332.07,332.30,331.93,332.16,38862169
2020-07-08,332.54,332.76,332.41,332.64,39484560
2020-07-09,333.15,333.64,332.77,333.25,39890297
2020-07-10,333.90,334.63,333.26,333.99,40116330
2020-07-13,334.75,335.71,333.89,334.85,40210780
2020-07-14,335.72,336.86,334.67,335.81,40229949
2020-07-15,336.77,338.07,335.57,336.87,41765177
2020-07-16,337.89,339.29,336.59,337.99,33712730
2020-07-17,339.07,340.52,337.72,339.17,35553794
2020-07-20,340.28,341.73,338.93,340.38,37236075
2020-07-21,341.50,342.90,340.21,341.61,38717152
2020-07-22,342.72,344.01,341.54,342.82,39967115
2020-07-23,343.91,345.04,342.88,344.01,40970422
2020-07-24,345.05,345.98,344.22,345.15,41726867
2020-07-27,346.11,346.81,345.52,346.22,42251594
2020-07-28,347.09,347.53,346.76,347.19,42574152
2020-07-29,347.97,348.13,347.91,348.07,42736662
2020-07-30,348.72,349.03,348.51,348.82,32791195
2020-07-31,349.34,349.92,348.86,349.44,33203464
2020-08-03,349.82,350.65,349.08,349.91,35185474
2020-08-04,350.15,351.20,349.19,350.24,37093776
2020-08-05,350.32,351.56,349.18,350.41,38871898
2020-08-06,350.34,351.71,349.06,350.43,40471459
2020-08-07,350.21,351.66,348.84,350.30,41855181
2020-08-10,349.93,351.42,348.53,350.02,42999207
2020-08-11,349.52,350.98,348.15,349.60,43894581
2020-08-12,348.99,350.36,347.69,349.06,44547810
2020-08-13,348.34,349.58,347.18,348.42,34980452
2020-08-14,347.60,348.66,346.62,347.68,35227785
2020-08-17,346.79,347.63,346.02,346.86,35336604
2020-08-18,345.92,346.51,345.40,345.99,35362320
2020-08-19,345.02,345.34,344.77,345.08,36634490
2020-08-20,344.11,344.18,344.09,344.17,38591852
2020-08-21,343.20,343.55,342.91,343.26,40450240
2020-08-24,342.32,342.92,341.77,342.37,42156284
2020-08-25,341.49,342.33,340.71,341.54,43666086
2020-08-26,340.73,341.76,339.74,340.77,44947948
2020-08-27,340.05,341.24,338.89,340.09,35984346
2020-08-28,339.47,340.78,338.20,339.51,36773016
2020-08-31,339.00,340.37,337.66,339.03,37327098
2020-09-01,338.65,340.04,337.30,338.68,37674318
2020-09-02,338.43,339.78,337.12,338.46,37855262
2020-09-03,338.35,339.60,337.13,338.38,37920854
2020-09-04,338.41,339.52,337.33,338.43,38070807
2020-09-07,338.61,339.53,337.70,338.62,40058067
2020-09-08,338.94,339.64,338.25,338.95,41979541
2020-09-09,339.40,339.85,338.96,339.41,43777937
2020-09-10,339.98,340.16,339.81,339.99,35403614
2020-09-11,340.67,340.78,340.57,340.68,36817670
2020-09-14,341.46,341.84,341.10,341.47,37994363
2020-09-15,342.34,342.96,341.72,342.34,38922705
2020-09-16,343.28,344.13,342.43,343.28,39607153
2020-09-17,344.27,345.32,343.21,344.27,40067325
2020-09-18,345.29,346.50,344.07,345.28,40336786
2020-09-21,346.31,347.63,344.98,346.30,40460957
2020-09-22,347.32,348.70,345.93,347.31,40494292
2020-09-23,348.30,349.69,346.90,348.29,41503104
2020-09-24,349.22,350.56,347.88,349.21,33469221
2020-09-25,350.07,351.30,348.83,350.06,35343988
2020-09-28,350.83,351.91,349.75,350.82,37073018
2020-09-29,351.48,352.36,350.60,351.47,38610982
2020-09-30,352.01,352.65,351.36,352.00,39924433
2020-10-01,352.41,352.78,352.02,352.39,40993882
2020-10-02,352.66,352.76,352.54,352.64,41815010
2020-10-05,352.76,352.95,352.56,352.75,42398940
2020-10-06,352.72,353.17,352.24,352.70,42771539
2020-10-07,352.52,353.23,351.79,352.50,42971818
2020-10-08,352.17,353.11,351.22,352.16,33049499
2020-10-09,351.69,352.82,350.55,351.67,33061927
2020-10-12,351.08,352.35,349.79,351.06,34929495
2020-10-13,350.35,351.71,348.97,350.33,36863125
2020-10-14,349.52,350.91,348.11,349.50,38680916
2020-10-15,348.60,349.98,347.21,348.59,40332021
2020-10-16,347.62,348.92,346.31,347.61,41775956
2020-10-19,346.59,347.77,345.41,346.59,42985121
2020-10-20,345.55,346.55,344.54,345.54,43946510
2020-10-21,344.50,345.29,343.70,344.49,44662524
2020-10-22,343.46,344.01,342.91,343.46,35150820
2020-10-23,342.47,342.76,342.18,342.47,35443214
2020-10-26,341.54,341.56,341.53,341.54,35583700
2020-10-27,340.69,340.95,340.43,340.69,35625719
2020-10-28,339.93,340.45,339.42,339.94,36371164
2020-10-29,339.29,340.05,338.53,339.30,38344972
2020-10-30,338.77,339.74,337.81,338.78,40235156
2020-11-02,338.38,339.52,337.25,338.39,41986368
2020-11-03,338.14,339.41,336.88,338.15,43551903
2020-11-04,338.04,339.39,336.71,338.06,44896597
2020-11-05,338.09,339.47,336.74,338.12,35999020
2020-11-06,338.30,339.65,336.98,338.32,36852803
2020-11-09,338.65,339.92,337.41,338.68,37467038
2020-11-10,339.15,340.28,338.04,339.18,37865709
2020-11-11,339.77,340.74,338.84,339.81,38086204
2020-11-12,340.53,341.28,339.81,340.56,38176988
2020-11-13,341.39,341.90,340.91,341.43,38194594
2020-11-16,342.34,342.60,342.13,342.39,39799899
2020-11-17,343.38,343.49,343.31,343.43,41744659
2020-11-18,344.47,344.86,344.13,344.52,43580944
2020-11-19,345.60,346.26,345.01,345.66,35256758
2020-11-20,346.75,347.65,345.92,346.81,36730084
2020-11-23,347.90,349.01,346.86,347.97,37971490
2020-11-24,349.03,350.31,347.82,349.10,38965969
2020-11-25,350.11,351.51,348.78,350.18,39713862
2020-11-26,351.13,352.60,349.74,351.20,40230846
2020-11-27,352.06,353.55,350.66,352.14,40546952
2020-11-30,352.90,354.34,351.54,352.98,40704700
2020-12-01,353.62,354.96,352.36,353.70,40756458
2020-12-02,354.22,355.41,353.11,354.30,41238816
2020-12-03,354.67,355.67,353.76,354.76,33219242
2020-12-04,354.99,355.75,354.31,355.08,35123862
2020-12-07,355.15,355.66,354.74,355.25,36896430
2020-12-08,355.17,355.40,355.04,355.27,38488912
2020-12-09,355.05,355.30,354.90,355.15,39864471
2020-12-10,354.79,355.31,354.36,354.89,40999755
2020-12-11,354.40,355.18,353.71,354.50,41886354
2020-12-14,353.89,354.91,352.97,353.99,42531318
2020-12-15,353.28,354.50,352.17,353.38,42956722
2020-12-16,352.59,353.95,351.33,352.69,43198292
2020-12-17,351.83,353.29,350.47,351.93,33303182
2020-12-18,351.02,352.52,349.62,351.12,33327046
2020-12-21,350.18,351.67,348.79,350.29,34669422
2020-12-22,349.34,350.77,348.02,349.45,36624270
2020-12-23,348.52,349.82,347.32,348.62,38478129
2020-12-24,347.73,348.86,346.69,347.83,40177910
2020-12-25,346.99,347.92,346.17,347.10,41680104
2020-12-28,346.33,347.02,345.75,346.43,42953486
2020-12-29,345.76,346.19,345.44,345.87,43981060
2020-12-30,345.30,345.45,345.25,345.40,44761111
2020-12-31,344.95,345.28,344.73,345.06,35307314
2021-01-01,344.74,345.33,344.25,344.84,35647885
2021-01-04,344.66,345.50,343.92,344.76,35823822
2021-01-05,344.72,345.77,343.77,344.82,35886363
2021-01-06,344.93,346.16,343.80,345.03,36106204
2021-01-07,345.28,346.65,344.01,345.38,38092169
2021-01-08,345.78,347.22,344.42,345.87,40010229
2021-01-11,346.40,347.88,345.02,346.49,41803302
2021-01-12,347.15,348.61,345.79,347.24,43422079
2021-01-13,348.02,349.39,346.74,348.11,44828088
2021-01-14,348.99,350.23,347.83,349.07,35996085
2021-01-15,350.04,351.11,349.06,350.12,36915625
2021-01-18,351.16,352.01,350.40,351.24,37591710
2021-01-19,352.33,352.93,351.81,352.41,38044480
2021-01-20,353.53,353.85,353.28,353.60,38307959
2021-01-21,354.73,354.84,354.70,354.80,38427940
2021-01-22,355.92,356.30,355.61,355.99,38459139
2021-01-25,357.07,357.72,356.49,357.14,39538209
2021-01-26,358.17,359.06,357.33,358.23,41502094
2021-01-27,359.18,360.29,358.13,359.24,43372586
2021-01-28,360.09,361.38,358.87,360.15,35095562
2021-01-29,360.89,362.30,359.54,360.95,36626071
2021-02-01,361.56,363.04,360.13,361.61,37931129
2021-02-02,362.09,363.58,360.64,362.13,38991768
2021-02-03,362.46,363.91,361.06,362.51,39804218
2021-02-04,362.68,364.02,361.37,362.72,40380140
2021-02-05,362.73,363.92,361.58,362.77,40745902
